Test Cycle	D-Satisfied	D-Matched	E-Satisfied	E-Matched	F-Satisfied	F-Matched
1	1 / 2	3 / 4	2 / 2	2 / 2	6 / 20	7 / 14
2	3 / 4	2 / 12	3 / 6	4 / 8	2 / 5	3 / 5
3	1 / 2	1 / 2	1 / 2	4 / 7	4 / 12	4 / 14
4	2 / 4	2 / 10	0 / 4	0 / 4	5 / 12	8 / 12
5	0 / 3	0 / 5	6 / 6	8 / 8	2 / 2	2 / 2
6	1 / 4	1 / 9	0 / 2	0 / 4	11 / 16	9 / 11
7	2 / 4	2 / 7	2 / 8	3 / 10	0 / 2	0 / 2
8	1 / 2	1 / 3	1 / 2	1 / 2	2 / 2	2 / 2
9	3 / 4	2 / 2	2 / 8	2 / 13	5 / 9	4 / 6
10	3 / 4	2 / 4	0 / 4	0 / 1	4 / 12	4 / 8
11	1 / 2	3 / 9	2 / 4	2 / 6	0 / 2	0 / 3
12	5 / 5	5 / 5	2 / 2	3 / 5	3 / 8	8 / 15
13	0 / 4	0 / 1	3 / 6	3 / 4	2 / 2	4 / 5
14	1 / 2	1 / 2	1 / 6	1 / 6	1 / 2	1 / 6
15	2 / 2	2 / 2	1 / 2	1 / 2	6 / 6	8 / 8
16	2 / 4	2 / 4	1 / 2	1 / 6	1 / 2	1 / 1
17	1 / 2	1 / 2	6 / 6	6 / 9	8 / 16	7 / 21
18	1 / 2	1 / 1	1 / 2	1 / 2	2 / 2	7 / 7
19	1 / 3	1 / 11	3 / 4	4 / 8	1 / 3	1 / 3
20	1 / 4	1 / 2	6 / 6	8 / 8	5 / 12	5 / 11
